Postfix를 사용하여 이메일을 전송합니다.
🎥 화상통신 최적화 서버 시작!
🔒 HTTPS 서버가 포트 7000에서 실행 중입니다.
LAN 접속: https://192.168.200.106:7000
WebSocket 접속: wss://192.168.200.106:7000
WebRTC 화상통신: 지원됨
카메라/마이크: HTTPS 환경에서 활성화
✅ PostgreSQL 데이터베이스 연결 성공
📊 데이터베이스에서 입실 중인 사용자 0명 로드
2025-09-11T05:48:35.265Z - OPTIONS /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.283Z - OPTIONS /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.315Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
✅ 데이터베이스 테이블 동기화 완료
2025-09-11T05:48:35.346Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.359Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.360Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.361Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.374Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.414Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.480Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.513Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.546Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.581Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.613Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.632Z - GET /api/udp-events/5 from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.642Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.676Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.709Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.743Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.778Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.807Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
2025-09-11T05:48:35.841Z - POST /api/udp-socket from 192.168.200.108 (HTTPS: true)
